"lat","lng","name","color","note"
47.37738,8.541672,"Zürich, Bahnhofquai/HB",#ffff00,43
47.396273,8.485233,"Zürich, Bändliweg",#ffff00,147
47.393816,8.508896,"Zürich, Bernoulli-Häuser",#ffff00,120
47.376916,8.544086,"Zürich, Central",#ffff00,38
47.389964,8.523601,"Zürich, Escher-Wyss-Platz",#ffff00,86
47.377794,8.548236,"Zürich, ETH/Universitätsspital",#ffff00,8
47.393521,8.512599,"Zürich, Fischerweg",#ffff00,113
47.392217,8.517434,"Zürich, Förrlibuckstrasse",#ffff00,106
47.395034,8.489938,"Zürich, Grünaustrasse",#ffff00,142
47.380358,8.548197,"Zürich, Haldenbach",#ffff00,-2
47.378838,8.545304,"Zürich, Haldenegg",#ffff00,17
47.396204,8.497697,"Zürich, Hardhof",#ffff00,136
47.394199,8.504439,"Zürich, Hardturm",#ffff00,127
47.389011,8.546337,"Zürich, Kinkelstrasse",#ffff00,-12
47.393791,8.544966,"Zürich, Langmauerstrasse",#ffff00,-16
47.390873,8.545435,"Zürich, Letzistrasse",#ffff00,-15
47.38449,8.531767,"Zürich, Limmatplatz",#ffff00,71
47.388257,8.526281,"Zürich, Löwenbräu",#ffff00,82
47.382048,8.535054,"Zürich, Museum für Gestaltung",#ffff00,65
47.386604,8.52891,"Zürich, Quellenstrasse",#ffff00,77
47.386104,8.548316,"Zürich, Seilbahn Rigiblick",#ffff00,-13
47.379769,8.537407,"Zürich, Sihlquai/HB",#ffff00,59
47.397616,8.49485,"Zürich, Tüffenwies",#ffff00,137
47.397786,8.482057,"Zürich, Werdhölzli",#ffff00,150
47.383344,8.548192,"Zürich, Winkelriedstrasse",#ffff00,-8
