lat,lng,name,color,note
47.397786,8.482057,Zuerich Werdhoelzli,#FFFF00,446
47.396483,8.484853,Zuerich Baendliweg,#FFFF00,430
47.395199,8.48957,Zuerich Gruenaustrasse,#FFFF00,406
47.397576,8.494293,Zuerich Tueffenwies,#FFFF00,399
47.396505,8.497319,Zuerich Hardhof,#FFFF00,397
47.394313,8.503872,Zuerich Hardturm,#FFFF00,393
47.381696,8.571586,Zuerich Zoo,#FFFF00,386
47.393893,8.508381,Zuerich Bernoulli-Haeuser,#FFFF00,379
47.378063,8.541673,Zuerich Bahnhofquai/HB,#FFFF00,378
47.378519,8.568062,Zuerich Susenbergstrasse,#FFFF00,375
47.380108,8.537636,Zuerich Sihlquai/HB,#FFFF00,367
47.393715,8.5121,Zuerich Fischerweg,#FFFF00,363
47.378681,8.564331,Zuerich Zuerichbergstrasse,#FFFF00,361
47.396093,8.545106,Zuerich Universitaet Irchel,#FFFF00,357
47.382339,8.534742,Zuerich Museum fuer Gestaltung,#FFFF00,352
47.3924,8.51704,Zuerich Foerrlibuckstrasse,#FFFF00,352
47.378838,8.545304,Zuerich Haldenegg,#FFFF00,351
47.386922,8.528585,Zuerich Quellenstrasse,#FFFF00,348
47.384799,8.531495,Zuerich Limmatplatz,#FFFF00,347
47.388585,8.525838,Zuerich Loewenbraeu,#FFFF00,344
